nohup: ignoring input
wandb: Currently logged in as: mahdikhashan1 (nano-apps) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /root/user/doom-drl/wandb/run-20250608_191312-02w0617w
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run denim-meadow-11
wandb: ⭐️ View project at https://wandb.ai/nano-apps/doom-rl
wandb: 🚀 View run at https://wandb.ai/nano-apps/doom-rl/runs/02w0617w
Host 38241
Player 38241
Ep 093: return    0.0  |  ε 0.955
Ep 094: return   -0.5  |  ε 0.954
Ep 095: return   -1.1  |  ε 0.954
Ep 096: return   -0.2  |  ε 0.953
Ep 097: return   -0.4  |  ε 0.953
Ep 098: return   47.8  |  ε 0.952
Ep 099: return   -1.2  |  ε 0.952
Ep 100: return   -2.0  |  ε 0.951
--- Logged checkpoint to W&B at episode 100 ---
Ep 101: return   -0.2  |  ε 0.951
Ep 102: return   -1.7  |  ε 0.950
Ep 103: return   -0.3  |  ε 0.950
Ep 104: return   -0.3  |  ε 0.949
Ep 105: return   -0.8  |  ε 0.949
Ep 106: return   -0.9  |  ε 0.948
Ep 107: return   -0.1  |  ε 0.948
Ep 108: return   -2.3  |  ε 0.947
Ep 109: return    0.0  |  ε 0.947
Ep 110: return   -0.5  |  ε 0.946
Ep 111: return   11.2  |  ε 0.946
Ep 112: return    0.0  |  ε 0.946
Ep 113: return    0.0  |  ε 0.945
Ep 114: return   -2.3  |  ε 0.945
Ep 115: return   19.9  |  ε 0.944
Ep 116: return   -0.6  |  ε 0.944
Ep 117: return    0.0  |  ε 0.943
Ep 118: return   23.8  |  ε 0.943
Ep 119: return   -0.1  |  ε 0.942
Ep 120: return   -0.2  |  ε 0.942
Ep 121: return   -0.4  |  ε 0.941
Ep 122: return   -0.5  |  ε 0.941
Ep 123: return   -0.9  |  ε 0.940
Ep 124: return    0.0  |  ε 0.940
Ep 125: return    0.0  |  ε 0.939
Ep 126: return    1.2  |  ε 0.939
Ep 127: return   -1.0  |  ε 0.938
Ep 128: return   -1.0  |  ε 0.938
Ep 129: return   -0.4  |  ε 0.938
Ep 130: return   -1.2  |  ε 0.937
Ep 131: return   11.2  |  ε 0.937
Ep 132: return   10.3  |  ε 0.936
Ep 133: return   -0.9  |  ε 0.936
Ep 134: return    0.0  |  ε 0.935
Ep 135: return   -1.3  |  ε 0.935
Ep 136: return   -2.2  |  ε 0.934
Ep 137: return   -1.0  |  ε 0.934
Ep 138: return   -1.5  |  ε 0.933
Ep 139: return    9.0  |  ε 0.933
Ep 140: return    6.3  |  ε 0.932
Ep 141: return    3.9  |  ε 0.932
Ep 142: return   -0.1  |  ε 0.931
Ep 143: return    8.0  |  ε 0.931
Ep 144: return   -2.1  |  ε 0.931
Ep 145: return   13.0  |  ε 0.930
Ep 146: return   -0.7  |  ε 0.930
Ep 147: return   -0.2  |  ε 0.929
Ep 148: return   -0.9  |  ε 0.929
Ep 149: return    0.0  |  ε 0.928
Ep 150: return    5.0  |  ε 0.928
Ep 151: return   18.8  |  ε 0.927
Ep 152: return    0.0  |  ε 0.927
Ep 153: return   18.0  |  ε 0.926
Ep 154: return    1.2  |  ε 0.926
Ep 155: return   12.7  |  ε 0.925
Ep 156: return   11.6  |  ε 0.925
Ep 157: return    4.9  |  ε 0.924
Ep 158: return   27.0  |  ε 0.924
Ep 159: return    7.0  |  ε 0.924
Ep 160: return   -0.9  |  ε 0.923
Ep 161: return   -0.1  |  ε 0.923
Ep 162: return    5.0  |  ε 0.922
Ep 163: return   -1.5  |  ε 0.922
Ep 164: return   41.9  |  ε 0.921
Ep 165: return    5.2  |  ε 0.921
Ep 166: return   10.3  |  ε 0.920
Ep 167: return   -0.1  |  ε 0.920
Ep 168: return   10.8  |  ε 0.919
Ep 169: return   -0.9  |  ε 0.919
Ep 170: return    4.0  |  ε 0.918
Ep 171: return    0.0  |  ε 0.918
Ep 172: return    0.0  |  ε 0.918
Ep 173: return    7.9  |  ε 0.917
Ep 174: return   11.3  |  ε 0.917
Ep 175: return   -1.1  |  ε 0.916
Ep 176: return    6.5  |  ε 0.916
Ep 177: return   16.6  |  ε 0.915
Ep 178: return   12.9  |  ε 0.915
Ep 179: return    0.0  |  ε 0.914
Ep 180: return   -0.7  |  ε 0.914
Ep 181: return   -0.5  |  ε 0.913
Ep 182: return   -0.5  |  ε 0.913
Ep 183: return    4.2  |  ε 0.913
Ep 184: return    0.0  |  ε 0.912
Ep 185: return   -0.4  |  ε 0.912
Ep 186: return    2.7  |  ε 0.911
Ep 187: return   -0.1  |  ε 0.911
Ep 188: return    4.5  |  ε 0.910
Ep 189: return   20.4  |  ε 0.910
Ep 190: return    4.8  |  ε 0.909
Ep 191: return    5.0  |  ε 0.909
Ep 192: return    5.9  |  ε 0.908
Ep 193: return    5.2  |  ε 0.908
Ep 194: return   -0.1  |  ε 0.908
Ep 195: return    0.0  |  ε 0.907
Ep 196: return   -2.0  |  ε 0.907
Ep 197: return    0.0  |  ε 0.906
Ep 198: return    0.0  |  ε 0.906
Ep 199: return   -0.5  |  ε 0.905
Ep 200: return    5.3  |  ε 0.905
--- Logged checkpoint to W&B at episode 200 ---
Ep 201: return    0.0  |  ε 0.904
Ep 202: return   10.8  |  ε 0.904
Ep 203: return   41.2  |  ε 0.903
Ep 204: return   -0.2  |  ε 0.903
Ep 205: return   -2.3  |  ε 0.903
Ep 206: return   12.5  |  ε 0.902
Ep 207: return    4.4  |  ε 0.902
Ep 208: return   -2.2  |  ε 0.901
Ep 209: return   -0.1  |  ε 0.901
Ep 210: return   -0.2  |  ε 0.900
Ep 211: return   16.8  |  ε 0.900
Ep 212: return   13.3  |  ε 0.899
Ep 213: return    3.3  |  ε 0.899
Ep 214: return   -1.3  |  ε 0.899
Ep 215: return    6.1  |  ε 0.898
